state,2012 Percent margin ,2012 Winner,2016 Percent margin,2016 Winner,Net Trump Margins,Comments
NV,6.68,D,2.42,D,4.26,margin fell for D
NC,2.04,R,3.66,R,1.62,increased for R
FL,0.88,D,1.19,R,0.31,increased for R
OH,2.97,D,8.07,R,11.04,changed D to R
IA,5.81,D,9.41,R,15.22,changed D to R
PA,5.38,D,0.72,R,6.1,changed D to R
CO,5.36,D,4.91,D,0.45,margin fell for D
WI,6.94,D,0.76,R,7.7,changed D to R
AZ,9.04,R,3.5,R,-5.54,fel for R
NH,5.58,D,0.37,D,5.21,fell for D
VA,3.86,D,5.32,D,-1.46,fell for R
