Date,OH_Clinton,OH_Trump,FL_Clinton,FL_Trump,MI_Clinton,MI_Trump,WI_Clinton,WI_Trump,VA_Clinton,VA_Trump,NC_Clinton,NC_Trump,CO_Clinton,CO_Trump,IA_Clinton,IA_Trump,NV_Clinton,NV_Trump,AZ_Clinton,AZ_Trump
8/1/16,40.0 ,38.6 ,41.3 ,41.5 ,37.7 ,34.0 ,42.0 ,36.5 ,40.7 ,35.7 ,,,40.8 ,33.5 ,39.3 ,39.5 ,43.0 ,40.5 ,,
8/8/16,41.8 ,39.6 ,43.0 ,41.4 ,39.4 ,33.2 ,42.0 ,36.5 ,42.8 ,36.0 ,42.3 ,41.8 ,41.3 ,32.0 ,38.8 ,39.0 ,43.0 ,40.7 ,,
8/15/16,41.8 ,39.6 ,44.2 ,40.2 ,40.0 ,33.0 ,44.0 ,35.0 ,46.0 ,35.7 ,43.0 ,41.8 ,42.0 ,30.7 ,38.7 ,38.7 ,43.3 ,41.0 ,,
8/22/16,43.0 ,39.0 ,44.2 ,40.2 ,42.5 ,34.0 ,44.0 ,35.0 ,42.2 ,34.6 ,42.0 ,41.2 ,41.8 ,31.3 ,38.0 ,37.8 ,43.3 ,41.0 ,,
8/29/16,43.0 ,39.8 ,44.3 ,40.7 ,43.4 ,34.8 ,44.0 ,35.0 ,45.5 ,34.0 ,42.8 ,41.5 ,41.8 ,31.3 ,38.0 ,37.8 ,43.3 ,41.0 ,40.0 ,42.7 
9/5/16,44.0 ,40.7 ,45.0 ,42.3 ,44.3 ,36.7 ,41.7 ,37.3 ,45.0 ,38.7 ,43.2 ,42.6 ,39.7 ,30.0 ,39.0 ,40.0 ,43.3 ,41.0 ,39.3 ,42.7 
9/12/16,42.0 ,41.0 ,43.2 ,43.4 ,44.7 ,38.7 ,42.0 ,38.0 ,44.7 ,38.7 ,43.0 ,42.3 ,40.3 ,35.0 ,38.3 ,40.3 ,42.8 ,41.2 ,38.2 ,40.4 
9/19/16,40.4 ,42.4 ,43.3 ,43.3 ,43.0 ,37.8 ,42.0 ,38.0 ,43.3 ,39.0 ,42.0 ,42.0 ,40.0 ,37.0 ,38.3 ,43.3 ,41.5 ,42.5 ,38.2 ,40.4 
9/26/16,40.7 ,42.7 ,43.8 ,43.3 ,43.3 ,39.0 ,43.0 ,38.0 ,43.0 ,37.0 ,42.3 ,43.1 ,40.5 ,41.0 ,37.8 ,42.8 ,40.5 ,42.8 ,39.0 ,42.0 
10/3/16,40.5 ,43.3 ,45.8 ,43.0 ,44.7 ,39.0 ,44.3 ,38.5 ,44.0 ,37.0 ,43.7 ,42.5 ,42.5 ,39.2 ,37.3 ,42.3 ,42.4 ,41.6 ,39.0 ,42.0 
10/10/16,44.7 ,42.3 ,45.1 ,42.7 ,43.7 ,36.0 ,44.8 ,38.0 ,44.0 ,36.0 ,44.8 ,42.2 ,44.3 ,37.0 ,38.0 ,41.7 ,44.0 ,42.7 ,41.0 ,42.0 
10/17/16,43.8 ,44.5 ,46.4 ,42.8 ,45.3 ,33.7 ,45.0 ,38.0 ,45.0 ,36.3 ,46.0 ,43.3 ,44.5 ,37.3 ,38.0 ,41.7 ,45.5 ,41.3 ,41.0 ,42.0 
10/24/16,43.7 ,44.8 ,46.6 ,44.3 ,43.8 ,35.0 ,45.0 ,38.5 ,46.6 ,36.8 ,45.8 ,43.8 ,44.6 ,38.4 ,38.5 ,40.5 ,45.7 ,42.1 ,43.5 ,42.0 
10/31/16,44.3 ,46.8 ,44.5 ,45.5 ,47.0 ,40.0 ,47.0 ,41.3 ,47.5 ,42.3 ,46.4 ,45.7 ,44.0 ,40.3 ,40.3 ,41.7 ,45.0 ,44.0 ,43.5 ,45.0 
11/6/16,42.3 ,45.8 ,46.4 ,46.6 ,45.4 ,42.0 ,46.8 ,40.3 ,47.3 ,42.3 ,45.5 ,46.5 ,43.3 ,40.4 ,41.3 ,44.3 ,45.0 ,45.8 ,42.3 ,46.3 
11/8/16,43.2 ,51.3 ,47.4 ,48.6 ,47.0 ,47.3 ,46.5 ,47.2 ,49.8 ,44.4 ,46.2 ,49.9 ,48.2 ,43.3 ,41.2 ,51.2 ,47.9 ,45.5 ,44.6 ,48.1 
,,,,,,,,,,,,,,,,,,,,
