Date,OH_Clinton,OH_Trump,FL_Clinton,FL_Trump,MI_Clinton,MI_Trump,WI_Clinton,WI_Trump,VA_Clinton,VA_Trump,NC_Clinton,NC_Trump,CO_Clinton,CO_Trump,IA_Clinton,IA_Trump,NV_Clinton,NV_Trump,AZ_Clinton,AZ_Trump,PA_Clinton,PA_Trump,NH_Clinton,NH_Trump
8/1/16,40,38.6,41.3,41.5,37.7,34,42,36.5,40.7,35.7,,,40.8,33.5,39.3,39.5,43,40.5,,,42,38.8,,
8/8/16,41.8,39.6,43,41.4,39.4,33.2,42,36.5,42.8,36,42.3,41.8,41.3,32,38.8,39,43,40.7,,,46.2,37.5,42,34.5
8/15/16,41.8,39.6,44.2,40.2,40,33,44,35,46,35.7,43,41.8,42,30.7,38.7,38.7,43.3,41,,,46.2,37.5,43,35
8/22/16,43,39,44.2,40.2,42.5,34,44,35,42.2,34.6,42,41.2,41.8,31.3,38,37.8,43.3,41,,,46.5,36.5,43,35
8/29/16,43,39.8,44.3,40.7,43.4,34.8,44,35,45.5,34,42.8,41.5,41.8,31.3,38,37.8,43.3,41,40,42.7,46.6,39,43,35
9/5/16,44,40.7,45,42.3,44.3,36.7,41.7,37.3,45,38.7,43.2,42.6,39.7,30,39,40,43.3,41,39.3,42.7,46,40,44,34
9/12/16,42,41,43.2,43.4,44.7,38.7,42,38,44.7,38.7,43,42.3,40.3,35,38.3,40.3,42.8,41.2,38.2,40.4,45.6,39.8,41.3,35.3
9/19/16,40.4,42.4,43.3,43.3,43,37.8,42,38,43.3,39,42,42,40,37,38.3,43.3,41.5,42.5,38.2,40.4,44.7,38.5,41.3,35.3
9/26/16,40.7,42.7,43.8,43.3,43.3,39,43,38,43,37,42.3,43.1,40.5,41,37.8,42.8,40.5,42.8,39,42,43.6,41.8,42.7,37.3
10/3/16,40.5,43.3,45.8,43,44.7,39,44.3,38.5,44,37,43.7,42.5,42.5,39.2,37.3,42.3,42.4,41.6,39,42,45.4,41,42.7,36.7
10/10/16,44.7,42.3,45.1,42.7,43.7,36,44.8,38,44,36,44.8,42.2,44.3,37,38,41.7,44,42.7,41,42,47.6,39,44.3,38.3
10/17/16,43.8,44.5,46.4,42.8,45.3,33.7,45,38,45,36.3,46,43.3,44.5,37.3,38,41.7,45.5,41.3,41,42,46.8,40,43.3,39.7
10/24/16,43.7,44.8,46.6,44.3,43.8,35,45,38.5,46.6,36.8,45.8,43.8,44.6,38.4,38.5,40.5,45.7,42.1,43.5,42,45.8,40.6,45,37.8
10/31/16,44.3,46.8,44.5,45.5,47,40,47,41.3,47.5,42.3,46.4,45.7,44,40.3,40.3,41.7,45,44,43.5,45,47.2,41.2,46,41.3
11/6/16,42.3,45.8,46.4,46.6,45.4,42,46.8,40.3,47.3,42.3,45.5,46.5,43.3,40.4,41.3,44.3,45,45.8,42.3,46.3,46.2,44.3,43.3,42.7
11/8/16,43.2,51.3,47.4,48.6,47,47.3,46.5,47.2,49.8,44.4,46.2,49.9,48.2,43.3,41.2,51.2,47.9,45.5,44.6,48.1,47.5,48.2,46.8,46.5
